Date,Close/Last,Open,High,Low
12/10/2018,59.97,61.45,62.31,59.56
12/07/2018,61.67,60.31,63.71,59.10
12/06/2018,60.06,61.70,61.96,58.39
12/05/2018,61.56,61.36,63.27,60.81
12/04/2018,62.08,61.86,63.56,61.24
12/03/2018,61.69,59.89,62.59,59.50
11/30/2018,59.46,59.23,59.89,58.25
11/29/2018,59.51,58.77,60.37,57.52
11/28/2018,58.76,60.83,61.26,58.56
11/27/2018,60.21,60.41,61.40,58.95
11/26/2018,60.48,59.15,61.09,58.60
11/23/2018,58.80,62.62,63.79,58.43
11/21/2018,63.48,63.51,63.79,62.28
11/20/2018,62.53,66.91,66.96,61.76
11/19/2018,66.79,67.01,67.62,65.27
11/16/2018,66.76,66.75,68.38,66.10
11/15/2018,66.62,65.92,67.40,65.75
11/14/2018,66.12,65.28,67.62,65.01
11/13/2018,65.47,69.14,69.67,64.64
11/12/2018,70.12,70.54,71.86,68.89
11/09/2018,70.18,70.95,70.98,69.16
11/08/2018,70.65,72.14,73.06,70.51
11/07/2018,72.07,71.75,73.53,71.35
11/06/2018,72.13,72.72,73.27,71.18
11/05/2018,73.17,72.75,74.12,72.23
11/02/2018,72.83,72.66,73.48,72.17
11/01/2018,72.89,74.79,74.98,72.56
10/31/2018,75.47,76.18,76.89,75.48
10/30/2018,75.91,76.84,77.32,75.11
10/29/2018,77.34,77.69,78.01,76.55
10/26/2018,77.62,76.62,77.91,75.77
10/25/2018,76.89,75.70,77.05,75.37
10/24/2018,76.17,76.19,77.56,75.13
10/23/2018,76.44,80.02,80.12,75.88
10/22/2018,79.83,80.08,80.39,78.97
10/19/2018,79.78,79.34,80.89,79.22
10/18/2018,79.29,80.33,80.33,78.69
10/17/2018,80.05,81.60,81.84,79.17
10/16/2018,81.41,80.70,81.74,79.80
10/15/2018,80.78,80.97,81.91,79.85
10/12/2018,80.43,80.28,81.47,79.22
10/11/2018,80.26,82.59,82.61,79.80
10/10/2018,83.09,84.88,85.16,82.28
10/09/2018,85.00,83.77,85.44,83.72
10/08/2018,83.91,84.11,84.31,82.66
10/05/2018,84.16,84.71,85.11,83.92
10/04/2018,84.58,86.13,86.42,84.15
10/03/2018,86.29,84.71,86.72,84.01
10/02/2018,84.80,85.06,85.37,84.32
10/01/2018,84.98,82.92,85.44,82.56
09/28/2018,82.73,81.54,82.85,81.54
09/27/2018,81.72,81.81,82.42,81.34
09/26/2018,81.34,81.51,82.19,81.12
09/25/2018,81.87,81.45,82.54,81.17
09/24/2018,81.20,79.10,81.48,79.10
09/21/2018,78.80,78.70,80.12,78.24
09/20/2018,78.70,79.33,79.82,78.52
09/19/2018,79.40,78.86,79.50,78.52
09/18/2018,79.03,77.89,79.72,77.50
09/17/2018,78.05,78.07,78.89,77.73
09/14/2018,78.09,78.36,78.93,77.38
09/13/2018,78.18,79.77,79.77,77.87
09/12/2018,79.74,79.47,80.11,78.75
09/11/2018,79.06,77.36,79.52,77.36
09/10/2018,77.37,76.85,77.91,76.85
09/07/2018,76.83,76.58,77.08,75.89
09/06/2018,76.50,77.14,77.75,75.64
09/05/2018,77.27,77.89,78.06,76.92
