Дата,Ссылка,Заголовок
15 апреля 2024 12:05,https://neftegaz.ru/news/finance/829425-neft-desheveet-posle-napadeniya-irana-na-izrail/,Нефть дешевеет после нападения Ирана на Израиль
15 апреля 2024 07:44,https://neftegaz.ru/news/finance/829350-kazakhstan-v-marte-2024-g-prevysil-svoi-obyazatelstva-v-ramkakh-opek-no-poobeshchal-kompensirovat-sv/,"Казахстан в марте 2024 г. превысил свои обязательства в рамках ОПЕК+, но пообещал компенсировать сверхдобычу"
12 апреля 2024 21:10,https://neftegaz.ru/news/dobycha/829201-exxonmobil-vlozhit-12-7-mlrd-doll-ssha-v-razrabotku-neftyanogo-mestorozhdeniya-na-shelfe-gayany/,"ExxonMobil вложит 12,7 млрд долл. США в разработку нефтяного месторождения на шельфе Гайаны"
12 апреля 2024 16:35,https://neftegaz.ru/news/transport-and-storage/829120-ktk-polnostyu-vozobnovil-rabotu-mnp-tengiz-novorossiysk-posle-tekhobsluzhivaniya/,КТК полностью возобновил работу МНП Тенгиз – Новороссийск после техобслуживания
12 апреля 2024 16:00,https://neftegaz.ru/news/finance/829061-mea-ishchet-dokazatelstva-togo-chto-rost-mirovogo-sprosa-na-neft-prodolzhaet-teryat-oboroty/,"МЭА ищет доказательства того, что рост мирового спроса на нефть продолжает терять обороты"
12 апреля 2024 14:35,https://neftegaz.ru/news/finance/829079-kitay-v-yanvare-marte-2024-g-narastil-import-nefti-na-0-7/,"Китай в январе-марте 2024 г нарастил импорт нефти на 0,7%"
12 апреля 2024 12:31,https://neftegaz.ru/news/finance/829028-opek-sokhranila-prognoz-po-rostu-sprosa-na-neft-v-mire-v-2024-i-v-2025-gg/,ОПЕК сохранила прогноз по росту спроса на нефть в мире в 2024 и в 2025 гг.
12 апреля 2024 12:01,https://neftegaz.ru/news/finance/829053-neft-dorozhaet-posle-snizheniya-po-itogam-predydushchey-sessii/,Нефть дорожает после снижения по итогам предыдущей сессии
12 апреля 2024 08:04,https://neftegaz.ru/news/dobycha/828964-dobycha-nefti-na-yugo-vostoke-turtsii-prevysila-40-tys-barr-sutki/,Добыча нефти на юго-востоке Турции превысила 40 тыс. барр./сутки
12 апреля 2024 03:00,https://neftegaz.ru/news/gosreg/829009-v-fas-uchli-predlozheniya-neftyanikov-po-tsene-transportirovki-nefti-urals-dlya-ndpi/,В ФАС учли предложения нефтяников по цене транспортировки нефти Urals для НДПИ
11 апреля 2024 21:00,https://neftegaz.ru/news/Trading/829003-eksport-nefti-iz-iraka-sokratilsya-v-marte/,Экспорт нефти из Ирака сократился в марте
11 апреля 2024 15:35,https://neftegaz.ru/news/companies/828943-novatek-v-1-m-kvartale-2024-g-narastil-dobychu-gaza-na-1-2/,"НОВАТЭК в 1-м квартале 2024 г. нарастил добычу газа на 1,2%"
11 апреля 2024 12:06,https://neftegaz.ru/news/finance/828904-neft-dorozhaet-na-fone-usileniya-napryazhennosti-na-blizhnem-vostoke/,Нефть дорожает на фоне усиления напряженности на Ближнем Востоке
10 апреля 2024 12:01,https://neftegaz.ru/news/finance/828728-neft-dorozhaet-napryazhennost-na-blizhnem-vostoke-kompensiruet-rost-zapasov-syroy-nefti-v-ssha/,Нефть дорожает: напряженность на Ближнем Востоке компенсирует рост запасов сырой нефти в США
10 апреля 2024 08:32,https://neftegaz.ru/news/transport-and-storage/828613-kaztransoyl-uvelichit-tranzit-rossiyskoy-nefti-v-kitay/,КазТрансОйл увеличит транзит российской нефти в Китай
09 апреля 2024 22:00,https://neftegaz.ru/news/transport-and-storage/828599-nesmotrya-na-pavodki-tranzit-rossiyskoy-nefti-cherez-territoriyu-kazakhstana-ostaetsya-stabilnym/,"Несмотря на паводки, транзит российской нефти через территорию Казахстана остается стабильным"
09 апреля 2024 16:05,https://neftegaz.ru/news/transport-and-storage/828546-ktk-do-11-aprelya-priostanovil-otgruzku-nefti-iz-za-planovykh-rabot-na-mnp-tengiz-novorossiysk/,КТК до 11 апреля приостановил отгрузку нефти из-за плановых работ на МНП Тенгиз – Новороссийск
09 апреля 2024 15:01,https://neftegaz.ru/news/transport-and-storage/828511-meksika-sokratit-eksport-syroy-nefti-mae-2024-g/,Мексика сократит экспорт сырой нефти мае 2024 г.
09 апреля 2024 12:02,https://neftegaz.ru/news/finance/828489-neft-dorozhaet-v-svyazi-s-oslableniem-nadezhd-na-prekrashchenie-ognya-na-blizhnem-vostoke/,Нефть дорожает в связи с ослаблением надежд на прекращение огня на Ближнем Востоке
08 апреля 2024 16:01,https://neftegaz.ru/news/drill/828359-bashneft-na-5-narastila-obemy-bureniya-v-2023-g/,Башнефть на 5% нарастила объемы бурения в 2023 г.
08 апреля 2024 12:05,https://neftegaz.ru/news/finance/828325-neft-desheveet-iz-za-oslableniya-napryazhennosti-na-blizhnem-vostoke/,Нефть дешевеет из-за ослабления напряженности на Ближнем Востоке
08 апреля 2024 11:05,https://neftegaz.ru/news/companies/828317-vitol-poluchil-13-mlrd-doll-ssha-pribyli-v-2023-g/,Vitol получил 13 млрд долл. США прибыли в 2023 г.
05 апреля 2024 12:05,https://neftegaz.ru/news/finance/827921-neft-korrektsionno-snizhaetsya-na-fone-usileniya-geopoliticheskoy-napryazhennosti/,Нефть коррекционно снижается на фоне усиления геополитической напряженности
04 апреля 2024 12:05,https://neftegaz.ru/news/finance/827696-neft-desheveet-na-dannykh-o-roste-zapasov-syroy-nefti-v-ssha/,Нефть дешевеет на данных о росте запасов сырой нефти в США
04 апреля 2024 10:02,https://neftegaz.ru/news/dobycha/827612-po-itogam-2023-g-lukoyl-snizil-neftepererabotku-na-13-4/,"По итогам 2023 г. ЛУКОЙЛ снизил нефтепереработку на 13,4%"
04 апреля 2024 09:05,https://neftegaz.ru/news/neftechim/827578-oil-india-planiruet-zapustit-npz-v-numaligarkhe-k-dekabryu-2025-g/,Oil India планирует запустить НПЗ в Нумалигархе к декабрю 2025 г.
04 апреля 2024 06:30,https://neftegaz.ru/news/transport-and-storage/827633-indiya-khochet-sozdat-svoy-pervyy-chastnyy-strategicheskiy-neftyanoy-rezerv/,Индия хочет создать свой первый частный стратегический нефтяной резерв
03 апреля 2024 17:06,https://neftegaz.ru/news/transport-and-storage/827544-meksikanskaya-pemex-planiruet-priostanovit-eksport-nekotorykh-sortov-nefti-v-aprele-2024-g-/,Мексиканская Pemex планирует приостановить экспорт некоторых сортов нефти в апреле 2024 г.
03 апреля 2024 16:02,https://neftegaz.ru/news/dobycha/827536-kazakhstan-planiruet-vypolnit-vse-obyazatelstva-po-sokrashcheniyu-dobychi-nefti-v-ramkakh-opek/,Казахстан планирует выполнить все обязательства по сокращению добычи нефти в рамках ОПЕК+
03 апреля 2024 13:30,https://neftegaz.ru/news/incidental/827507-operator-mestorozhdeniya-kashagan-oproverg-informatsiyu-o-razlive-nefti-v-rayone-kazakhstanskogo-mes/,Оператор месторождения Кашаган опроверг информацию о разливе нефти в районе казахстанского месторождения на Каспийском море
03 апреля 2024 12:04,https://neftegaz.ru/news/finance/827526-tseny-na-neft-korrektsionno-snizhayutsya-posle-v-tsentre-vnimaniya-geopoliticheskie-riski/,"Цены на нефть коррекционно снижаются после, в центре внимания – геополитические риски"
03 апреля 2024 09:33,https://neftegaz.ru/news/shelf/827494-kitayskaya-kompaniya-cnooc-poluchila-litsenzii-na-razvedku-nefti-i-gaza-na-shelfe-mozambika/,Китайская компания CNOOC получила лицензии на разведку нефти и газа на шельфе Мозамбика
03 апреля 2024 09:03,https://neftegaz.ru/news/gas/827463-glava-minenergo-rk-rasskazal-skolko-nefti-i-prirodnogo-gaza-ostalos-na-karachaganake-/,"Глава Минэнерго РК рассказал, сколько нефти и природного газа осталось на Карачаганаке"
02 апреля 2024 17:01,https://neftegaz.ru/news/dobycha/827433-novak-/,А. Новак рассказал о качественном скачке в развитии российской энергетики и господдержке по ключевым направлениям ТЭК
02 апреля 2024 12:04,https://neftegaz.ru/news/finance/827339-neft-dorozhaet-na-fone-rosta-napryazhennosti-na-blizhnem-vostoke-/,Нефть дорожает на фоне роста напряженности на Ближнем Востоке
02 апреля 2024 06:30,https://neftegaz.ru/news/Oborudovanie/827296-proizvodstvo-oborudovaniya-dlya-ochistki-vodoemov-ot-nefti-i-plastika-v-2024-g-zapustyat-v-skolkovo/,Производство оборудования для очистки водоемов от нефти и пластика в 2024 г. запустят в Сколково
01 апреля 2024 20:00,https://neftegaz.ru/news/transport-and-storage/827281-transneft-vypolnila-plan-otgruzok-nefti-iz-primorska-i-ust-lugi-v-marte/,Транснефть выполнила план отгрузок нефти из Приморска и Усть-Луги в марте
01 апреля 2024 17:32,https://neftegaz.ru/news/finance/827269-ssha-ne-planiruet-vvodit-povtornye-sanktsii-na-torgovlyu-venesuelskoy-neftyu-/,США не планирует вводить повторные санкции на торговлю венесуэльской нефтью﻿
01 апреля 2024 17:01,https://neftegaz.ru/news/transport-and-storage/827225-rossiyskaya-neft-postupila-na-kubu-posle-pereryva/,Российская нефть поступила на Кубу после перерыва
01 апреля 2024 12:09,https://neftegaz.ru/news/finance/827149-neft-dorozhaet-investory-delayut-stavku-na-sokrashchenie-predlozheniya-i-ekonomiku-kitaya/,Нефть дорожает: инвесторы делают ставку на сокращение предложения и экономику Китая
30 марта 2024 10:01,https://neftegaz.ru/news/transport-and-storage/826806-chetyre-tankera-stoyat-u-beregov-venesuely-s-dekabrya-v-ozhidanii-zagruzki-/,Четыре танкера стоят у берегов Венесуэлы с декабря в ожидании загрузки
29 марта 2024 17:37,https://neftegaz.ru/news/finance/826768-a-novak-rossiya-narastila-proizvodstvo-benzina-posle-serii-atak-na-npz/,А. Новак: Россия нарастила производство бензина после серии атак на НПЗ
29 марта 2024 12:01,https://neftegaz.ru/news/finance/826710-tseny-na-neft-rastut-na-fone-bespokoystva-o-sokrashchenii-postavok/,Нефть завершила март и первый квартал 2024 г. уверенным ростом
29 марта 2024 09:35,https://neftegaz.ru/news/Trading/826618-nigeriya-zakupit-u-ssha-7-mln-barr-nefti/,Нигерия закупит у США 7 млн барр. нефти
29 марта 2024 09:06,https://neftegaz.ru/news/dobycha/826565-rn-uvatneftegaz-zapustil-v-promyshlennuyu-ekspluatatsiyu-severo-nemchinovskoe-mestorozhdenie-/,РН-Уватнефтегаз ввел в промышленную эксплуатацию Северо-Немчиновское месторождение
28 марта 2024 17:06,https://neftegaz.ru/news/neftechim/826609-ryazanskiy-npz-zapustil-ostanovlennuyu-iz-za-ataki-bpla-ustanovku-pervichnoy-pererabotki-nefti/,Рязанский НПЗ запустил остановленную из-за атаки БПЛА установку первичной переработки нефти
28 марта 2024 12:06,https://neftegaz.ru/news/finance/826553-neft-dorozhaet-na-dannykh-o-roste-zapasov-syroy-nefti-v-ssha/,Нефть дорожает на данных о росте запасов сырой нефти в США
28 марта 2024 09:01,https://neftegaz.ru/news/shelf/826448-adnoc-i-cnpc-nachali-dobychu-nefti-na-bloke-belbazem-v-oae/,ADNOC и CNPC начали добычу нефти на блоке Belbazem в ОАЭ
27 марта 2024 16:31,https://neftegaz.ru/news/transport-and-storage/826431-kazakhstan-za-tranzit-nefti-iz-rf-v-knr-rasschityvaet-vyruchit-okolo-2-mlrd-doll-ssha/,Казахстан за транзит нефти из РФ в КНР рассчитывает выручить около 2 млрд долл. США
27 марта 2024 14:35,https://neftegaz.ru/news/politics/826425-ssha-i-yuzhnaya-koreya-sozdali-operativnuyu-gruppu-dlya-blokirovaniya-postavok-nefti-v-kndr/,США и Южная Корея создали оперативную группу для блокирования поставок нефти в КНДР
27 марта 2024 14:01,https://neftegaz.ru/news/transport-and-storage/826275-eksport-nefti-po-nefteprovodu-btd-v-yanvare-fevrale-2024-g-vyros-na-2-6/,"Экспорт нефти по нефтепроводу БТД в январе-феврале 2024 г. вырос на 2,6%"
27 марта 2024 12:30,https://neftegaz.ru/news/transport-and-storage/826369-rossiya-nachala-postavlyat-neft-v-severnuyu-koreyu-v-narushenie-sanktsiy/,Россия начала поставлять нефть в Северную Корею в нарушение санкций?
27 марта 2024 12:01,https://neftegaz.ru/news/finance/826320-neft-desheveet-na-dannykh-o-roste-zapasov-syroy-nefti-v-ssha/,Нефть дешевеет на данных о росте запасов сырой нефти в США
27 марта 2024 08:02,https://neftegaz.ru/news/companies/826146-ekonomicheskiy-effekt-ot-realizatsii-programmy-energosberezheniya-rn-yuganskneftegaz-v-2023-g-sostav/,"Экономический эффект от реализации программы энергосбережения  РН-Юганскнефтегаз в 2023 г. составил около 1,8 млн руб."
26 марта 2024 13:31,https://neftegaz.ru/news/shelf/826111-vaalco-prodvigaet-razrabotku-mestorozhdeniya-venus-v-ekvatorialnoy-gvinee/,VAALCO продвигает разработку месторождения Venus в Экваториальной Гвинее
26 марта 2024 12:04,https://neftegaz.ru/news/finance/826128-tseny-na-neft-korrektsionno-snizhayutsya-posle-rosta-po-itogam-predydushchey-sessii/,Цены на нефть коррекционно снижаются после роста по итогам предыдущей сессии
26 марта 2024 08:03,https://neftegaz.ru/news/companies/825958-ekonomicheskiy-effekt-ot-realizatsii-programmy-energosberezheniya-bashnefti-v-2023-g-prevysil-880-ml/,Экономический эффект от реализации программы энергосбережения Башнефти в 2023 г. превысил 880 млн руб.
25 марта 2024 14:35,https://neftegaz.ru/news/companies/825793-chistaya-pribyl-sinopec-v-2023-g-upala-na-9-9/,Чистая прибыль Sinopec в 2023 г. упала на 13%
25 марта 2024 12:05,https://neftegaz.ru/news/finance/825785-neft-dorozhaet-sokhranyayushchiesya-geopoliticheskie-riski-usilivayut-problemy-s-postavkami/,Нефть дорожает: сохраняющиеся геополитические риски усиливают проблемы с поставками
22 марта 2024 12:02,https://neftegaz.ru/news/finance/825420-neft-desheveet-na-fone-vozmozhnogo-peremiriya-v-gaze/,Нефть дешевеет на фоне возможного перемирия в Газе
21 марта 2024 17:01,https://neftegaz.ru/news/dobycha/825250-angola-sokhranit-dobychu-nefti-na-urovne-1-1-mln-barr-sutki-do-2027-g-/,"Ангола пытается сохранить добычу нефти на уровне 1,1 млн барр./сутки"
21 марта 2024 12:06,https://neftegaz.ru/news/finance/825168-neft-vosstanavlivaetsya-na-dannykh-o-sokrashchenii-zapasov-syroy-nefti-v-ssha/,Нефть восстанавливается на данных о сокращении запасов сырой нефти в США
21 марта 2024 10:58,https://neftegaz.ru/news/spg-szhizhennyy-prirodnyy-gaz/825154-yaponiya-v-fevrale-2024-g-narastila-import-spg-iz-rf-na-8/,Япония в феврале 2024 г. нарастила импорт СПГ из РФ на 8%
20 марта 2024 17:05,https://neftegaz.ru/news/petroleum-products/825013-rossiya-narastila-morskoy-eksport-nefti-na-9-4/,"Россия нарастила морской экспорт нефти на  9,4%"
20 марта 2024 15:30,https://neftegaz.ru/news/Trading/825006-sanktsii-vse-taki-meshayut-indiya-menyaet-sokol-na-wti/,Санкции все-таки мешают: Индия меняет Sokol на WTI
20 марта 2024 12:30,https://neftegaz.ru/news/finance/824935-predstavitel-kompanii-uralkaliya-nazval-lozhnymi-soobshcheniya-o-schetakh-v-banke-oae/,Представитель компании Уралкалий назвал ложными сообщения о счетах в банке ОАЭ
20 марта 2024 12:06,https://neftegaz.ru/news/finance/824983-neft-desheveet-na-fone-ukrepleniya-dollara-ssha/,Нефть дешевеет на фоне укрепления доллара США
19 марта 2024 16:35,https://neftegaz.ru/news/finance/824800-davlenie-so-storony-ssha-usililos-krupneyshikh-bankov-oae-enbd-zablokiroval-rossiyskie-scheta-/,Давление со стороны США усилилось. Крупнейший банк ОАЭ заблокировал российские счета
19 марта 2024 13:32,https://neftegaz.ru/news/transport-and-storage/824689-rossiya-mozhet-uvelichit-eksport-nefti-v-marte-2024-g-/,Россия может увеличить экспорт нефти в марте 2024 г.
19 марта 2024 12:05,https://neftegaz.ru/news/finance/824684-neft-desheveet-na-fone-uvelicheniya-postavok-iz-rossiya/,Нефть дешевеет на фоне увеличения поставок из Россия
19 марта 2024 10:42,https://neftegaz.ru/news/Trading/824663-kitay-v-marte-2024-g-mozhet-zakupit-rekordnyy-obem-rossiyskoy-nefti/,Китай в марте 2024 г. может закупить рекордный объем российской нефти
19 марта 2024 09:37,https://neftegaz.ru/news/Alternative-energy/824655-neftyanye-kompanii-yaro-vystupayut-protiv-bystrogo-otkaza-ot-iskopaemogo-topliva/,CERAWeek-2024. Нефтяные компании яро выступают против быстрого отказа от ископаемого топлива
18 марта 2024 16:10,https://neftegaz.ru/news/transport-and-storage/824522-litasco-s-a-prekratila-transportirovku-nefti-po-ktk-/,LITASCO S.A. прекратила транспортировку нефти по КТК
18 марта 2024 12:05,https://neftegaz.ru/news/finance/824466-neft-dorozhaet-posle-rosta-pochti-na-4-po-itogam-proshloy-nedeli/,Нефть дорожает после роста почти на 4% по итогам прошлой недели
18 марта 2024 10:51,https://neftegaz.ru/news/finance/824442-kitay-v-yanvare-fevrale-2024-g-uvelichil-dobychu-i-import-nefti-i-gaza/,Китай в январе-феврале 2024 г. увеличил добычу и импорт нефти и газа
17 марта 2024 15:29,https://neftegaz.ru/news/finance/824173-neneftyanoy-sektor-v-saudovskoy-aravii-dostig-istoricheskogo-maksimuma-v-2023-godu/,Ненефтяной сектор Саудовской Аравии достиг исторического максимума в 2023 году
17 марта 2024 11:02,https://neftegaz.ru/news/transport-and-storage/824171-postavki-nefti-po-sisteme-transnefti-upali-na-4-6-v-yanvare/,"Поставки нефти по системе Транснефти упали на 4,6% в январе"
16 марта 2024 17:30,https://neftegaz.ru/news/Oborudovanie/824169-uchenye-pnipu-razrabotali-otkazoustoychivoe-ustroystvo-dlya-dobychi-nefti-v-usloviyakh-vysokodebitny/,Ученые ПНИПУ разработали отказоустойчивое устройство для добычи нефти в условиях высокодебитных скважин
